colour	x	y	showSelectedlegendcolour	fill
#00B0F6	40	420	School	#00B0F6
#A3A500	40	570	NoQual	#A3A500
#00B0F6	23	520	School	#00B0F6
#E76BF3	45	530	Vocational	#E76BF3
#E76BF3	40	960	Vocational	#E76BF3
#00B0F6	42	1980	School	#00B0F6
#00B0F6	40	1220	School	#00B0F6
#E76BF3	40	1490	Vocational	#E76BF3
#A3A500	52	640	NoQual	#A3A500
#F8766D	38	880	BachDeg+	#F8766D
#00BF7D	8	380	OthPostSec	#00BF7D
#E76BF3	45	680	Vocational	#E76BF3
#00B0F6	25	420	School	#00B0F6
#E76BF3	48	940	Vocational	#E76BF3
#F8766D	40	600	BachDeg+	#F8766D
#00BF7D	43	810	OthPostSec	#00BF7D
#00B0F6	14	250	School	#00B0F6
#A3A500	26	240	NoQual	#A3A500
#00B0F6	76	1190	School	#00B0F6
#F8766D	50	3680	BachDeg+	#F8766D
#E76BF3	32	780	Vocational	#E76BF3
#E76BF3	36	1210	Vocational	#E76BF3
#00B0F6	39	710	School	#00B0F6
#F8766D	25	1180	BachDeg+	#F8766D
#E76BF3	40	460	Vocational	#E76BF3
#F8766D	56	540	BachDeg+	#F8766D
#E76BF3	43	1040	Vocational	#E76BF3
#E76BF3	40	620	Vocational	#E76BF3
#F8766D	45	1170	BachDeg+	#F8766D
#00BF7D	49	830	OthPostSec	#00BF7D
#F8766D	40	780	BachDeg+	#F8766D
#E76BF3	39	1280	Vocational	#E76BF3
#A3A500	29	490	NoQual	#A3A500
#E76BF3	28	530	Vocational	#E76BF3
#E76BF3	46	150	Vocational	#E76BF3
#00B0F6	43	570	School	#00B0F6
#E76BF3	31	1260	Vocational	#E76BF3
#E76BF3	40	1220	Vocational	#E76BF3
#00BF7D	44	980	OthPostSec	#00BF7D
#E76BF3	40	890	Vocational	#E76BF3
#A3A500	65	1320	NoQual	#A3A500
#00BF7D	56	750	OthPostSec	#00BF7D
#00B0F6	29	1780	School	#00B0F6
#E76BF3	64	750	Vocational	#E76BF3
#E76BF3	79	650	Vocational	#E76BF3
#E76BF3	26	620	Vocational	#E76BF3
#E76BF3	45	750	Vocational	#E76BF3
#00B0F6	41	500	School	#00B0F6
#E76BF3	20	470	Vocational	#E76BF3
#F8766D	40	690	BachDeg+	#F8766D
#A3A500	25	440	NoQual	#A3A500
#E76BF3	40	480	Vocational	#E76BF3
#E76BF3	55	650	Vocational	#E76BF3
#E76BF3	42	570	Vocational	#E76BF3
#A3A500	58	1160	NoQual	#A3A500
#E76BF3	40	670	Vocational	#E76BF3
#00B0F6	40	460	School	#00B0F6
#E76BF3	80	1350	Vocational	#E76BF3
#E76BF3	40	670	Vocational	#E76BF3
#E76BF3	40	990	Vocational	#E76BF3
#E76BF3	50	1370	Vocational	#E76BF3
#00BF7D	30	910	OthPostSec	#00BF7D
#E76BF3	40	500	Vocational	#E76BF3
#A3A500	58	400	NoQual	#A3A500
#E76BF3	60	860	Vocational	#E76BF3
#F8766D	41	1340	BachDeg+	#F8766D
#E76BF3	43	730	Vocational	#E76BF3
#00B0F6	45	540	School	#00B0F6
#00B0F6	40	790	School	#00B0F6
#00B0F6	40	1080	School	#00B0F6
#F8766D	35	1310	BachDeg+	#F8766D
#E76BF3	45	1660	Vocational	#E76BF3
#E76BF3	46	730	Vocational	#E76BF3
#F8766D	55	1170	BachDeg+	#F8766D
#A3A500	40	630	NoQual	#A3A500
#E76BF3	40	640	Vocational	#E76BF3
#E76BF3	46	590	Vocational	#E76BF3
#00B0F6	25	270	School	#00B0F6
#E76BF3	28	570	Vocational	#E76BF3
#F8766D	31	90	BachDeg+	#F8766D
#E76BF3	50	7710	Vocational	#E76BF3
#E76BF3	41	1390	Vocational	#E76BF3
#00BF7D	70	1180	OthPostSec	#00BF7D
#F8766D	40	1650	BachDeg+	#F8766D
#E76BF3	40	500	Vocational	#E76BF3
#00B0F6	40	1000	School	#00B0F6
#E76BF3	40	1390	Vocational	#E76BF3
#F8766D	34	1150	BachDeg+	#F8766D
#E76BF3	50	1120	Vocational	#E76BF3
#F8766D	28	1100	BachDeg+	#F8766D
#A3A500	25	410	NoQual	#A3A500
#F8766D	55	1100	BachDeg+	#F8766D
#E76BF3	55	650	Vocational	#E76BF3
#A3A500	45	1300	NoQual	#A3A500
#E76BF3	40	580	Vocational	#E76BF3
#F8766D	40	1660	BachDeg+	#F8766D
#F8766D	56	1200	BachDeg+	#F8766D
#00B0F6	40	1060	School	#00B0F6
#E76BF3	37	860	Vocational	#E76BF3
#00B0F6	50	810	School	#00B0F6
#E76BF3	38	720	Vocational	#E76BF3
#F8766D	45	1170	BachDeg+	#F8766D
#E76BF3	45	990	Vocational	#E76BF3
#E76BF3	45	790	Vocational	#E76BF3
#00BF7D	56	1310	OthPostSec	#00BF7D
#F8766D	36	230	BachDeg+	#F8766D
#E76BF3	50	1250	Vocational	#E76BF3
#E76BF3	45	500	Vocational	#E76BF3
#E76BF3	40	890	Vocational	#E76BF3
#F8766D	40	460	BachDeg+	#F8766D
#F8766D	24	840	BachDeg+	#F8766D
#E76BF3	55	1790	Vocational	#E76BF3
#F8766D	33	1640	BachDeg+	#F8766D
